fold,ticker,n_test,directional_accuracy,mae_price,rmse_price
1,BTC-USD,59,0.4745762711864407,1585.528076171875,2083.8355261392394
1,ETH-USD,59,0.5084745762711864,80.20633697509766,109.97864228027413
2,BTC-USD,58,0.5862068965517241,1558.387451171875,2406.7899783736843
2,ETH-USD,58,0.5689655172413793,71.78616333007812,100.86589468664569
3,BTC-USD,58,0.4482758620689655,1381.3580322265625,1755.6124999555
3,ETH-USD,58,0.46551724137931033,56.72895050048828,73.42634888742256
4,BTC-USD,58,0.43103448275862066,1062.188720703125,1395.7997707407749
4,ETH-USD,58,0.46551724137931033,36.71179962158203,51.43057222864262
