fold,ticker,n_test,directional_accuracy,mae_price,rmse_price
1,BTC-USD,59,0.5254237288135594,1577.722900390625,2036.6978789206808
1,ETH-USD,59,0.5084745762711864,83.2860107421875,109.07382641759204
2,BTC-USD,58,0.5862068965517241,1546.8499755859375,2402.144666750943
2,ETH-USD,58,0.5689655172413793,69.45384216308594,99.85963293074184
3,BTC-USD,58,0.4482758620689655,1350.9276123046875,1723.5387288947122
3,ETH-USD,58,0.46551724137931033,55.47433090209961,72.20747829605324
4,BTC-USD,58,0.43103448275862066,1084.1533203125,1424.9042511691794
4,ETH-USD,58,0.46551724137931033,38.269676208496094,53.2132355481228
