fold,ticker,n_test,directional_accuracy,mae_price,rmse_price
1,BTC-USD,59,0.5254237288135594,1594.9993896484375,2064.9320812075152
1,ETH-USD,59,0.5084745762711864,80.42790985107422,109.96767991096293
2,BTC-USD,58,0.5862068965517241,1556.4859619140625,2421.1636665041874
2,ETH-USD,58,0.5689655172413793,70.28656768798828,101.15959022906577
3,BTC-USD,58,0.5517241379310345,1345.3924560546875,1706.7166577964838
3,ETH-USD,58,0.5344827586206896,55.39313507080078,71.92907612494061
4,BTC-USD,58,0.43103448275862066,1222.539794921875,1576.019749241741
4,ETH-USD,58,0.46551724137931033,47.28200912475586,61.13912357599367
